world	regime	comparison	direction	left	right	t	truth	rank	matchedL	cold_log2	candidate_log2	left_live	right_live	left_minus_right_bits	w_before	w_after	hazard	left_odds_before	left_odds_after	left_cap_after	left_clipped	right_odds_before	right_odds_after	right_cap_after	right_clipped
216	switched	tight_vs_loose	help	h5l5	h16l5	8675	81	2	4	-2.163285272085177	-5.954738489020637	-2.440896584833898	-5.35340761064561	2.912511025811712	6.852483742014414	2.8468904081410034	2^-16	-2.1044236490231305	-5.895899249613784	5.0	0	4.575474796743661	0.7839616603010562	16.0	0
216	switched	tight_vs_loose	harm	h5l5	h16l5	8669	108	3	2	-4.620005223768532	-0.7420059441628108	-3.687810690336506	-0.9133155436140012	-2.7744951467225047	6.723074632019055	10.390977829374181	2^-16	-3.8163986900087337	0.06155560174711651	5.0	0	2.8726285902273507	6.748237322350614	16.0	0
216	switched	witnessed_vs_fixed	help	h10l5	h5l5	8669	108	3	2	-4.620005223768532	-0.7420059441628108	-1.2643884091260944	-3.687810690336506	2.423422281210412	6.723074632019055	10.390977829374181	2^-16	1.0482161709691191	4.9255242727317	10.0	0	-3.8163986900087337	0.06155560174711651	5.0	0
216	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8675	81	2	4	-2.163285272085177	-5.954738489020637	-4.546117325428405	-2.440896584833898	-2.1052207405945067	6.852483742014414	2.8468904081410034	2^-16	2.757671976439947	-1.0338140065559667	10.0	0	-2.1044236490231305	-5.895899249613784	5.0	0
216	switched	witnessed_vs_witness	help	h10l5	witness	8264	39	3	2	-1.9193866451421489	-5.634802394026418	-2.545218462063045	-3.3704681721937426	0.8252497101306977	-2.6748370993951194	-6.306664188923292	2^-10	-0.7004198276022008	-4.4173111500462525	5.0	0	1.1309046857166383	-2.586155501436871		0
216	switched	witnessed_vs_witness	harm	h10l5	witness	8668	81	1	2	-4.6113144953190215	-2.0721322720800948	-3.4331186630115718	-2.7303166695389285	-0.7028019934726433	4.3188566800311	6.723074632019055	2^-16	-1.4908985130455588	1.0482161709691191	10.0	0	0.3336296209678348	2.8726285902273507		0
216	moved_mid	tight_vs_loose	help	h5l5	h16l5	12375	128	4	1	-4.3461187136304815	-15.946576581440837	-5.930012184554709	-13.654170528696223	7.7241583441415145	6.499150641114604	-5.3044056842305825	2^-16	0.9997896290662314	-10.6006902668681	5.0	0	9.635177994019058	-1.9653075252257501	5.0	0
216	moved_mid	tight_vs_loose	harm	h5l5	h16l5	12911	67	2	2	-4.66475971356211	-1.6432503891872985	-4.491162364540498	-1.842639007647033	-2.6485233568934654	-0.602212530409801	2.4381159355403166	2^-16	-5.773047552853877	-2.751563511303299	5.0	0	2.5343230047006307	5.5547751468079705	16.0	0
216	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	9516	29	3	2	-5.640908954495222	-2.286616597307238	-3.6195438078519975	-5.425160524975098	1.8056167171231006	-4.790557536579059	-1.2865602563729794	2^-10	-1.0112335684432199	2.3345185238196127	5.0	0	-5.8125223928663905	-2.45989595693554	5.0	0
216	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	12375	128	4	1	-4.3461187136304815	-15.946576581440837	-10.310202836268894	-5.930012184554709	-4.3801906517141855	6.499150641114604	-5.3044056842305825	2^-16	5.970086135255941	-5.630394190911618	5.0	0	0.9997896290662314	-10.6006902668681	5.0	0
