world	regime	mode	high	low	early4096_bits	whole16384_bits	tail8192_bits	admission_next_t	max_odds_before	max_odds_after	odds_at_move	clips	low_clips	high_clips	slow_count	fast_count	minimum_prefix_bits	maximum_drawdown_bits
216	recombined	slow			642.5262515674201	3558.8172932047837	2119.585673050812	132	15.87791959873721	15.87791959873721	13.504969792130561	0	0	0	16252	0	-0.7918863528493327	12.826116987912428
216	recombined	fast			637.0360050789984	3536.2712796584588	2108.2155139075107	132	9.876029609341515	9.876029609341515	7.49534351510696	0	0	0	0	16252	-0.7748479715728036	8.183374517827644
216	recombined	witness			641.6215648549901	3557.6239947804124	2119.4552427579165	132	15.87791959873721	15.87791959873721	13.504969792130561	0	0	0	15392	860	-0.7918863528493327	12.69306753356841
216	recombined	h5l2	5	2	629.235704142977	3487.195272449246	2077.2720645559098	132	5.0	5.0	4.997822213877772	4203	0	4203	15392	860	-0.7918863528493327	5.039693757265127
216	recombined	h5l3	5	3	629.235704142977	3487.195272449246	2077.2720645559098	132	5.0	5.0	4.997822213877772	4203	0	4203	15392	860	-0.7918863528493327	5.039693757265127
216	recombined	h5l4	5	4	629.235704142977	3487.195272449246	2077.2720645559098	132	5.0	5.0	4.997822213877772	4203	0	4203	15392	860	-0.7918863528493327	5.039693757265127
216	recombined	h5l5	5	5	629.235704142977	3487.195272449246	2077.2720645559098	132	5.0	5.0	4.997822213877772	4203	4203	0	15392	860	-0.7918863528493327	5.039693757265127
216	recombined	h6l2	6	2	635.3894394555854	3522.1108211859073	2098.1726181595973	132	6.0	6.0	5.995713556144787	4197	0	4197	15392	860	-0.7918863528493327	6.012982353103894
216	recombined	h6l3	6	3	635.3894394555854	3522.1108211859073	2098.1726181595973	132	6.0	6.0	5.995713556144787	4197	0	4197	15392	860	-0.7918863528493327	6.012982353103894
216	recombined	h6l4	6	4	635.3894394555854	3522.1108211859073	2098.1726181595973	132	6.0	6.0	5.995713556144787	4197	0	4197	15392	860	-0.7918863528493327	6.012982353103894
216	recombined	h6l5	6	5	635.3894394555854	3522.1108211859073	2098.1726181595973	132	6.0	6.0	5.995713556144787	4197	0	4197	15392	860	-0.7918863528493327	6.012982353103894
216	recombined	h8l2	8	2	639.9300809287903	3548.634364667889	2114.162100660082	132	8.0	8.0	7.98312592545624	4170	6	4164	15392	860	-0.7918863528493327	7.968443584174565
216	recombined	h8l3	8	3	640.0823862875199	3548.8074414530574	2114.162100660082	132	8.0	8.0	7.98312592545624	4164	0	4164	15392	860	-0.7918863528493327	7.968443584174565
216	recombined	h8l4	8	4	640.0823862875199	3548.8074414530574	2114.162100660082	132	8.0	8.0	7.98312592545624	4164	0	4164	15392	860	-0.7918863528493327	7.968443584174565
216	recombined	h8l5	8	5	640.0823862875199	3548.8074414530574	2114.162100660082	132	8.0	8.0	7.98312592545624	4164	0	4164	15392	860	-0.7918863528493327	7.968443584174565
216	recombined	h10l2	10	2	640.8007411630548	3554.8475929151873	2118.201394059796	132	10.0	10.0	9.93384575338737	4041	8	4033	15392	860	-0.7918863528493327	9.858109622435222
216	recombined	h10l3	10	3	641.112812359227	3555.311157763793	2118.201394059796	132	10.0	10.0	9.93384575338737	4041	7	4034	15392	860	-0.7918863528493327	9.858109622435222
216	recombined	h10l4	10	4	641.240100795388	3555.5204225523885	2118.201394059796	132	10.0	10.0	9.93384575338737	4036	2	4034	15392	860	-0.7918863528493327	9.858109622435222
216	recombined	h10l5	10	5	641.2630713273785	3555.5464803973236	2118.201394059796	132	10.0	10.0	9.93384575338737	4035	0	4035	15392	860	-0.7918863528493327	9.858109622435222
216	recombined	h12l2	12	2	640.7999291084013	3555.175199593823	2118.809956230053	132	12.0	12.0	11.752009920561022	3324	20	3304	15392	860	-0.7918863528493327	11.43817553681447
216	recombined	h12l3	12	3	641.2729675721822	3556.6672075549322	2119.1741349276167	132	12.0	12.0	11.752009920561022	3324	11	3313	15392	860	-0.7918863528493327	11.43817553681447
216	recombined	h12l4	12	4	641.4872175557459	3557.106625143895	2119.20815434979	132	12.0	12.0	11.752009920561022	3322	6	3316	15392	860	-0.7918863528493327	11.496790175243405
216	recombined	h12l5	12	5	641.5535849725276	3557.2159846980503	2119.20815434979	132	12.0	12.0	11.752009920561022	3319	1	3318	15392	860	-0.7918863528493327	11.496790175243405
216	recombined	h16l2	16	2	640.6953129311826	3554.5028318605746	2118.8102455739063	132	15.87791959873721	15.87791959873721	13.504969792130561	20	20	0	15392	860	-0.7918863528493327	12.69306753356841
216	recombined	h16l3	16	3	641.2431271726448	3556.5059041845934	2119.2778853260534	132	15.87791959873721	15.87791959873721	13.504969792130561	20	20	0	15392	860	-0.7918863528493327	12.69306753356841
216	recombined	h16l4	16	4	641.5166554495311	3557.3805622391055	2119.4474535862273	132	15.87791959873721	15.87791959873721	13.504969792130561	10	10	0	15392	860	-0.7918863528493327	12.69306753356841
216	recombined	h16l5	16	5	641.6120089610142	3557.5895293475287	2119.4552427579165	132	15.87791959873721	15.87791959873721	13.504969792130561	3	3	0	15392	860	-0.7918863528493327	12.69306753356841
216	switched	slow			642.5262515674201	1429.2257269994352	-10.005893154536219	132	15.834693886218682	15.834693886218682	13.504969792130561	0	0	0	16252	0	-0.7918863528493327	12.826116987912428
216	switched	fast			637.0360050789984	1424.0122614852185	-4.043504265733851	132	9.832261526526619	9.832261526526619	7.49534351510696	0	0	0	0	16252	-0.7748479715728036	8.183374517827644
216	switched	witness			641.6215648549901	1428.2493218377465	-9.919430184748723	132	15.834693886218682	15.834693886218682	13.504969792130561	0	0	0	8320	7932	-0.7918863528493327	12.69306753356841
216	switched	h5l2	5	2	629.235704142977	1406.589706403027	-3.3335014903061477	132	5.0	5.0	4.997822213877772	1737	0	1737	8320	7932	-0.7918863528493327	5.0398131068452585
216	switched	h5l3	5	3	629.235704142977	1406.589706403027	-3.3335014903061477	132	5.0	5.0	4.997822213877772	1737	0	1737	8320	7932	-0.7918863528493327	5.0398131068452585
216	switched	h5l4	5	4	629.235704142977	1406.589706403027	-3.3335014903061477	132	5.0	5.0	4.997822213877772	1737	0	1737	8320	7932	-0.7918863528493327	5.0398131068452585
216	switched	h5l5	5	5	629.235704142977	1406.589706403027	-3.3335014903061477	132	5.0	5.0	4.997822213877772	1737	1737	0	8320	7932	-0.7918863528493327	5.0398131068452585
216	switched	h6l2	6	2	635.3894394555854	1419.6529508736842	-4.285252152640343	132	6.0	6.0	5.995713556144787	1731	0	1731	8320	7932	-0.7918863528493327	6.013220288137518
216	switched	h6l3	6	3	635.3894394555854	1419.6529508736842	-4.285252152640343	132	6.0	6.0	5.995713556144787	1731	0	1731	8320	7932	-0.7918863528493327	6.013220288137518
216	switched	h6l4	6	4	635.3894394555854	1419.6529508736842	-4.285252152640343	132	6.0	6.0	5.995713556144787	1731	0	1731	8320	7932	-0.7918863528493327	6.013220288137518
216	switched	h6l5	6	5	635.3894394555854	1419.6529508736842	-4.285252152640343	132	6.0	6.0	5.995713556144787	1731	0	1731	8320	7932	-0.7918863528493327	6.013220288137518
216	switched	h8l2	8	2	639.9300809287903	1428.248270708534	-6.223993299241842	132	8.0	8.0	7.98312592545624	1717	6	1711	8320	7932	-0.7918863528493327	7.969377388401426
216	switched	h8l3	8	3	640.0823862875199	1428.4213474937026	-6.223993299241842	132	8.0	8.0	7.98312592545624	1711	0	1711	8320	7932	-0.7918863528493327	7.969377388401426
216	switched	h8l4	8	4	640.0823862875199	1428.4213474937026	-6.223993299241842	132	8.0	8.0	7.98312592545624	1711	0	1711	8320	7932	-0.7918863528493327	7.969377388401426
