arm	target_s	target_d	target_epoch	context_len	c1_s	c1_d	c1_epoch	c2_s	c2_d	c2_epoch	c3_s	c3_d	c3_epoch	seen	positive	negative	ledger_bits	peak_bits	state	L	ever_earned
relation	103	103	1	2	32	32	1	103	103	1	0	0	0	2	1	1	0.00083899206480388729	0.00083899206480388729	0	0	0
relation	103	103	1	3	32	32	1	32	32	1	32	32	1	4	0	4	-0.094777841380581235	0	0	0	0
relation	103	103	1	2	97	97	1	32	32	1	0	0	0	1	1	0	0.058329693821148144	0.058329693821148144	0	0	0
relation	32	32	1	2	97	97	1	103	103	1	0	0	0	1	0	1	-0.011195916777753018	0	0	0	0
relation	97	97	1	2	97	97	1	103	103	1	0	0	0	1	1	0	0.094624776655961695	0.094624776655961695	0	0	0
relation	103	103	1	2	97	97	1	103	103	1	0	0	0	1	0	1	-0.010241527376233534	0	0	0	0
relation	32	32	1	3	97	97	1	103	103	1	32	32	1	1	1	0	0.0024570593020471652	0.0024570593020471652	0	0	0
relation	97	97	1	3	97	97	1	103	103	1	32	32	1	1	0	1	-0.0026860870000530567	0	0	0	0
relation	103	103	1	3	97	97	1	103	103	1	32	32	1	1	1	0	9.5369935143559039e-05	9.5369935143559039e-05	0	0	0
relation	111	111	3	0	0	0	0	0	0	0	0	0	0	2588	362	2226	-262.50301880958949	4.7887397888896936	0	0	0
relation	111	111	3	1	32	32	1	0	0	0	0	0	0	2148	536	1612	198.97148925184763	205.56602997257878	1	0.35956000024466439	1
relation	32	32	1	2	111	111	3	32	32	1	0	0	0	102	102	0	0.28759502668169773	0.28759502668169773	0	0	0
relation	97	97	1	2	111	111	3	32	32	1	0	0	0	102	24	78	-2.8808846114982716	0	0	0	0
relation	111	111	3	2	111	111	3	32	32	1	0	0	0	102	22	80	-1.3135190799331675	4.2438251444604669	0	0	0
relation	111	111	3	1	97	97	1	0	0	0	0	0	0	112	4	108	-5.2087911326442402	0	0	0	0
relation	32	32	1	1	111	111	3	0	0	0	0	0	0	75	68	7	0.19315675392277812	0.19315675392277812	0	0	0
relation	97	97	1	1	111	111	3	0	0	0	0	0	0	75	10	65	-4.2514276208717936	0	0	0	0
relation	111	111	3	1	111	111	3	0	0	0	0	0	0	75	16	59	10.687910656974447	10.810050928971942	0	0	0
relation	111	111	3	2	97	97	1	32	32	1	0	0	0	6	4	2	0.61293376311622283	0.62215881843326337	0	0	0
relation	111	111	3	3	32	32	1	97	97	1	32	32	1	42	34	8	-6.8547064063311787	0	0	0	0
relation	108	108	1	0	0	0	0	0	0	0	0	0	0	7103	1147	5956	-829.81358176080005	4.3227030774220108	0	0	0
relation	108	108	1	1	32	32	1	0	0	0	0	0	0	6060	1395	4665	337.97221764188168	338.09828987875358	1	0.49685810711851208	1
relation	108	108	1	1	111	111	3	0	0	0	0	0	0	70	15	55	-10.110459272238479	0	0	0	0
relation	108	108	1	1	97	97	1	0	0	0	0	0	0	256	207	49	-11.468556870540363	8.5334256736705303	0	0	0
relation	32	32	1	2	108	108	1	108	108	1	0	0	0	53	44	9	-39.119288699402567	0.37017271212080471	0	0	0
relation	97	97	1	2	108	108	1	108	108	1	0	0	0	53	1	52	-6.7110576129853516	0	0	0	0
relation	108	108	1	2	108	108	1	108	108	1	0	0	0	53	0	53	-0.24655052819090922	0	0	0	0
relation	111	111	3	2	108	108	1	108	108	1	0	0	0	22	2	20	1.2572226384821519	1.3971473074457901	0	0	0
relation	108	108	1	2	111	111	3	32	32	1	0	0	0	83	27	56	5.9627001594578317	5.9627001594578317	0	0	0
relation	108	108	1	3	32	32	1	97	97	1	32	32	1	134	54	80	6.447868059870971	6.5138084914372341	0	0	0
relation	32	32	1	1	108	108	1	0	0	0	0	0	0	129	32	97	-21.32128149118364	2.7045919366996007	0	0	0
relation	97	97	1	1	108	108	1	0	0	0	0	0	0	129	23	106	-25.947791986471884	8.1303510997541153	0	0	0
relation	108	108	1	1	108	108	1	0	0	0	0	0	0	129	1	128	-5.625370768701055	3.3911615322741717	0	0	0
relation	111	111	3	1	108	108	1	0	0	0	0	0	0	27	6	21	1.8174100612627653	2.5248321123035309	0	0	0
relation	32	32	1	3	108	108	1	108	108	1	32	32	1	102	102	0	0.29614104371546879	0.29614104371546879	0	0	0
relation	97	97	1	3	108	108	1	108	108	1	32	32	1	102	15	87	17.759210374241732	17.759210374241732	0	0	0
relation	108	108	1	3	108	108	1	108	108	1	32	32	1	102	43	59	2.8746053828230376	2.9242347048438986	0	0	0
relation	111	111	3	3	108	108	1	108	108	1	32	32	1	24	3	21	-2.8206308414941983	0.27252819175992204	0	0	0
relation	108	108	1	2	32	32	1	97	97	1	0	0	0	57	54	3	-19.40630121325896	4.3335849576207588	0	0	0
relation	111	111	3	2	32	32	1	97	97	1	0	0	0	20	14	6	0.033659871543193838	0.036067463352809574	0	0	0
relation	32	32	1	3	108	108	1	111	111	3	111	111	3	1	1	0	0.00055588098963394751	0.00055588098963394751	0	0	0
relation	97	97	1	3	108	108	1	111	111	3	111	111	3	1	1	0	6.3962668461467692e-05	6.3962668461467692e-05	0	0	0
relation	108	108	1	3	108	108	1	111	111	3	111	111	3	1	1	0	0.00019446782344090756	0.00019446782344090756	0	0	0
relation	111	111	3	3	108	108	1	111	111	3	111	111	3	1	0	1	-0.00054767533085010292	0	0	0	0
relation	32	32	1	2	32	32	1	111	111	3	0	0	0	4	4	0	0.018710255629872701	0.018710255629872701	0	0	0
relation	97	97	1	2	32	32	1	111	111	3	0	0	0	4	0	4	-1.030840908099268	0	0	0	0
relation	108	108	1	2	32	32	1	111	111	3	0	0	0	4	4	0	0.42371223015165904	0.42371223015165904	0	0	0
relation	111	111	3	2	32	32	1	111	111	3	0	0	0	4	4	0	0.84436805709578688	0.84436805709578688	0	0	0
relation	32	32	1	2	108	108	1	111	111	3	0	0	0	6	6	0	0.021914469570838636	0.021914469570838636	0	0	0
relation	97	97	1	2	108	108	1	111	111	3	0	0	0	6	0	6	-0.52520528386432552	0	0	0	0
relation	108	108	1	2	108	108	1	111	111	3	0	0	0	6	4	2	0.0083477571141700145	0.0083477571141700145	0	0	0
relation	111	111	3	2	108	108	1	111	111	3	0	0	0	6	0	6	-1.154003002121827	0	0	0	0
relation	108	108	1	2	97	97	1	32	32	1	0	0	0	14	4	10	-0.46465904227130139	0	0	0	0
relation	32	32	1	3	97	97	1	32	32	1	97	97	1	2	2	0	0.32417096276958629	0.32417096276958629	0	0	0
relation	97	97	1	3	97	97	1	32	32	1	97	97	1	2	1	1	0.0063749242825338849	0.0069177660540138703	0	0	0
relation	108	108	1	3	97	97	1	32	32	1	97	97	1	2	2	0	0.043622176822095182	0.043622176822095182	0	0	0
relation	111	111	3	3	97	97	1	32	32	1	97	97	1	1	1	0	0.0036685721742460765	0.0036685721742460765	0	0	0
relation	32	32	1	3	32	32	1	97	97	1	108	108	1	7	7	0	0.86293252289119649	0.86293252289119649	0	0	0
relation	97	97	1	3	32	32	1	97	97	1	108	108	1	7	4	3	-0.83673593090668208	0.17096568967346329	0	0	0
relation	108	108	1	3	32	32	1	97	97	1	108	108	1	7	0	7	-0.11050026369593602	0	0	0	0
relation	111	111	3	3	32	32	1	97	97	1	108	108	1	4	1	3	0.39099296128718874	0.39099296128718874	0	0	0
relation	32	32	1	2	97	97	1	108	108	1	0	0	0	26	20	6	-51.143207899488999	0.26961523792317449	0	0	0
relation	97	97	1	2	97	97	1	108	108	1	0	0	0	26	10	16	2.7835191556910481	3.832294482867475	0	0	0
relation	108	108	1	2	97	97	1	108	108	1	0	0	0	26	0	26	-1.4333325520927096	0	0	0	0
relation	111	111	3	2	97	97	1	108	108	1	0	0	0	2	2	0	0.34471764224363621	0.34471764224363621	0	0	0
relation	108	108	1	3	32	32	1	32	32	1	32	32	1	12	0	12	-0.45463852019255224	0	0	0	0
relation	111	111	3	3	32	32	1	32	32	1	32	32	1	5	0	5	-0.34949409426137568	0	0	0	0
relation	32	32	1	2	108	108	1	32	32	1	0	0	0	28	28	0	0.044115941942595362	0.044115941942595362	0	0	0
relation	97	97	1	2	108	108	1	32	32	1	0	0	0	28	5	23	0.39056358921537881	1.6489747065625884	0	0	0
relation	108	108	1	2	108	108	1	32	32	1	0	0	0	28	0	28	-0.85610827470096951	0	0	0	0
relation	111	111	3	2	108	108	1	32	32	1	0	0	0	3	0	3	-0.25902009445109203	0	0	0	0
relation	32	32	1	2	32	32	1	108	108	1	0	0	0	11	11	0	0.71191843683780065	0.71191843683780065	0	0	0
relation	97	97	1	2	32	32	1	108	108	1	0	0	0	11	2	9	-0.26063510430801246	0.77355334138267584	0	0	0
relation	108	108	1	2	32	32	1	108	108	1	0	0	0	11	0	11	-0.030213609853684847	0	0	0	0
relation	111	111	3	2	32	32	1	108	108	1	0	0	0	4	2	2	0.43382538424512768	0.43382538424512768	0	0	0
relation	32	32	1	3	97	97	1	108	108	1	108	108	1	27	19	8	-90.946095121532395	0.76698076218417022	0	0	0
relation	97	97	1	3	97	97	1	108	108	1	108	108	1	27	1	26	-0.34307855580862923	0.031236140874735585	0	0	0
relation	108	108	1	3	97	97	1	108	108	1	108	108	1	27	20	7	0.089217896421509874	0.089804614876589278	0	0	0
relation	111	111	3	3	97	97	1	108	108	1	108	108	1	10	0	10	-2.1433063753692023	0	0	0	0
relation	32	32	1	3	111	111	3	111	111	3	32	32	1	1	1	0	0.00276261821767522	0.00276261821767522	0	0	0
relation	97	97	1	3	111	111	3	111	111	3	32	32	1	1	1	0	0.0039001145502330619	0.0039001145502330619	0	0	0
relation	108	108	1	3	111	111	3	111	111	3	32	32	1	1	1	0	0.08057260610486866	0.08057260610486866	0	0	0
relation	111	111	3	3	111	111	3	111	111	3	32	32	1	1	1	0	0.0022118526017115923	0.0022118526017115923	0	0	0
relation	32	32	1	3	97	97	1	108	108	1	32	32	1	8	8	0	0.014115247356396503	0.014115247356396503	0	0	0
relation	97	97	1	3	97	97	1	108	108	1	32	32	1	8	1	7	0.17059841241076212	0.28613982078596234	0	0	0
relation	108	108	1	3	97	97	1	108	108	1	32	32	1	8	0	8	-0.19014217704412151	0	0	0	0
relation	111	111	3	3	97	97	1	108	108	1	32	32	1	4	1	3	0.19099262645996018	0.22073770338016285	0	0	0
relation	32	32	1	2	108	108	1	97	97	1	0	0	0	24	24	0	0.088731161676094586	0.088731161676094586	0	0	0
relation	97	97	1	2	108	108	1	97	97	1	0	0	0	24	18	6	0.12035545181945799	0.12035545181945799	0	0	0
relation	108	108	1	2	108	108	1	97	97	1	0	0	0	24	24	0	0.088520088486125095	0.088520088486125095	0	0	0
relation	111	111	3	2	108	108	1	97	97	1	0	0	0	6	5	1	0.014813192556378158	0.014813192556378158	0	0	0
relation	32	32	1	2	111	111	3	111	111	3	0	0	0	5	5	0	0.020103960769469787	0.020103960769469787	0	0	0
relation	97	97	1	2	111	111	3	111	111	3	0	0	0	5	4	1	-0.0051889168858888536	0.0018254122451410466	0	0	0
relation	108	108	1	2	111	111	3	111	111	3	0	0	0	5	4	1	0.24693792079548382	0.24858128224081349	0	0	0
relation	111	111	3	2	111	111	3	111	111	3	0	0	0	5	0	5	-0.035331570979254767	0	0	0	0
relation	32	32	1	3	108	108	1	32	32	1	97	97	1	4	4	0	0.639658080230741	0.639658080230741	0	0	0
relation	97	97	1	3	108	108	1	32	32	1	97	97	1	4	4	0	0.032826687983347688	0.032826687983347688	0	0	0
relation	108	108	1	3	108	108	1	32	32	1	97	97	1	4	4	0	0.2617919833799352	0.2617919833799352	0	0	0
relation	111	111	3	3	108	108	1	32	32	1	97	97	1	2	2	0	0.012272126563827824	0.012272126563827824	0	0	0
relation	32	32	1	3	111	111	3	108	108	1	32	32	1	1	1	0	0.00049710826166300996	0.00049710826166300996	0	0	0
relation	97	97	1	3	111	111	3	108	108	1	32	32	1	1	0	1	-0.07973340567139936	0	0	0	0
relation	108	108	1	3	111	111	3	108	108	1	32	32	1	1	0	1	-0.002810786744024454	0	0	0	0
relation	111	111	3	3	111	111	3	108	108	1	32	32	1	1	0	1	-0.07680156020475834	0	0	0	0
relation	32	32	1	3	32	32	1	108	108	1	97	97	1	8	8	0	0.025497143456566698	0.025497143456566698	0	0	0
relation	97	97	1	3	32	32	1	108	108	1	97	97	1	8	8	0	0.041872800611699221	0.041872800611699221	0	0	0
relation	108	108	1	3	32	32	1	108	108	1	97	97	1	8	8	0	0.027938276849266724	0.027938276849266724	0	0	0
relation	111	111	3	3	32	32	1	108	108	1	97	97	1	1	1	0	0.0061490872592972522	0.0061490872592972522	0	0	0
relation	32	32	1	2	111	111	3	108	108	1	0	0	0	3	0	3	-0.010454107509163384	0	0	0	0
relation	97	97	1	2	111	111	3	108	108	1	0	0	0	3	0	3	-0.31580163974389541	0	0	0	0
relation	108	108	1	2	111	111	3	108	108	1	0	0	0	3	0	3	-0.58560770173499677	0	0	0	0
relation	111	111	3	2	111	111	3	108	108	1	0	0	0	3	0	3	-0.33476181407017447	0	0	0	0
relation	32	32	1	3	97	97	1	32	32	1	108	108	1	1	1	0	0.087151903692714458	0.087151903692714458	0	0	0
relation	97	97	1	3	97	97	1	32	32	1	108	108	1	1	0	1	-2.5855707110355794	0	0	0	0
relation	108	108	1	3	97	97	1	32	32	1	108	108	1	1	1	0	0.0039572929737685808	0.0039572929737685808	0	0	0
relation	97	97	1	2	32	32	1	32	32	1	0	0	0	1	0	1	-0.11296302161426479	0	0	0	0
relation	108	108	1	2	32	32	1	32	32	1	0	0	0	1	0	1	-0.037219796257065729	0	0	0	0
null0	106	122	1	0	0	0	0	0	0	0	0	0	0	316	0	316	-0.7652959978052708	0	0	0	0
null0	102	44	1	0	0	0	0	0	0	0	0	0	0	11566	1394	10172	-428.17281529423678	7.1410570337577575	0	0	0
null0	102	44	1	1	102	44	1	0	0	0	0	0	0	7	0	7	-0.31621430411260715	0	0	0	0
null2	45	120	1	0	0	0	0	0	0	0	0	0	0	349	4	345	0.35379422310428649	0.69594847158914952	0	0	0
null2	45	120	3	0	0	0	0	0	0	0	0	0	0	357	3	354	-0.8850696256602405	0	0	0	0
null3	107	33	1	0	0	0	0	0	0	0	0	0	0	5573	508	5065	74.549793536019521	74.56307348592955	0	0	0
null3	107	33	1	1	107	33	1	0	0	0	0	0	0	3	3	0	0.00069544276922589208	0.00069544276922589208	0	0	0
null3	45	76	1	0	0	0	0	0	0	0	0	0	0	1733	58	1675	2.2110989164196777	2.669236793161649	0	0	0
null3	45	76	1	1	107	33	1	0	0	0	0	0	0	2	0	2	-0.011721762648529938	0	0	0	0
null3	103	226	1	0	0	0	0	0	0	0	0	0	0	2712	287	2425	-30.354437159531756	20.779627845364345	0	0	0
null4	106	70	1	0	0	0	0	0	0	0	0	0	0	833	11	822	-1.0158107443954885	0.0063198962077699733	0	0	0
null4	39	40	1	0	0	0	0	0	0	0	0	0	0	362	11	351	-9.2091232400416789	0	0	0	0
null4	39	40	1	1	39	40	1	0	0	0	0	0	0	1	0	1	-0.00032265287971952594	0	0	0	0
null4	39	40	3	0	0	0	0	0	0	0	0	0	0	344	15	329	-0.3300109972790965	0.070743723883612331	0	0	0
null4	112	226	1	0	0	0	0	0	0	0	0	0	0	318	32	286	7.0245118009494325	8.7735083350149115	0	0	0
null4	112	226	3	0	0	0	0	0	0	0	0	0	0	311	23	288	-24.856555345035314	0	0	0	0
null4	122	42	1	0	0	0	0	0	0	0	0	0	0	786	1	785	-2.6825211372004869	0	0	0	0
null4	39	120	5	0	0	0	0	0	0	0	0	0	0	512	2	510	-1.6617078277750765	0	0	0	0
null4	39	120	5	1	39	120	5	0	0	0	0	0	0	4	1	3	0.00016392060735565068	0.00040113156043774102	0	0	0
null4	39	120	7	0	0	0	0	0	0	0	0	0	0	1306	5	1301	-9.3455093334632622	0	0	0	0
null4	39	120	7	1	39	120	7	0	0	0	0	0	0	5	0	5	-0.0014315733862209172	0	0	0	0
null5	71	74	1	0	0	0	0	0	0	0	0	0	0	402	4	398	-0.31781833008216914	0	0	0	0
null5	71	74	3	0	0	0	0	0	0	0	0	0	0	411	3	408	0.44587990564003416	0.60571079310701137	0	0	0
null5	45	70	1	0	0	0	0	0	0	0	0	0	0	1167	55	1112	2.5885329070671399	2.8132848420678722	0	0	0
null6	122	83	1	0	0	0	0	0	0	0	0	0	0	746	26	720	6.8501457572742375	6.9364604375021051	0	0	0
null6	122	83	1	1	122	83	1	0	0	0	0	0	0	2	0	2	-0.20704794032697721	0	0	0	0
null6	45	79	1	0	0	0	0	0	0	0	0	0	0	894	26	868	-9.5813288510673527	3.4937535576161665	0	0	0
null6	69	69	1	0	0	0	0	0	0	0	0	0	0	1438	50	1388	-0.20302458366070686	0.80844475352396183	0	0	0
null6	45	79	3	0	0	0	0	0	0	0	0	0	0	1644	84	1560	3.2361686564285082	8.0930027118989329	0	0	0
null6	45	79	3	1	45	79	3	0	0	0	0	0	0	4	4	0	0.23127994753222439	0.23127994753222439	0	0	0
null6	45	79	5	0	0	0	0	0	0	0	0	0	0	256	15	241	-3.3187898769374757	0.15819204645445981	0	0	0
null6	45	79	7	0	0	0	0	0	0	0	0	0	0	530	28	502	-4.564705238403115	0.42527864391439352	0	0	0
null6	45	82	9	0	0	0	0	0	0	0	0	0	0	1876	51	1825	-1.1782354640580792	1.2714303874507624	0	0	0
null7	39	80	1	0	0	0	0	0	0	0	0	0	0	311	2	309	-1.0109033072023215	0	0	0	0
null7	122	69	1	0	0	0	0	0	0	0	0	0	0	1814	52	1762	-2.9671356850226185	0	0	0	0
null7	122	69	1	1	122	69	1	0	0	0	0	0	0	1	0	1	-0.10385856255319607	0	0	0	0
null7	49	91	1	0	0	0	0	0	0	0	0	0	0	1566	0	1566	-0.94089933201166454	0	0	0	0
null7	106	81	1	0	0	0	0	0	0	0	0	0	0	1838	68	1770	-3.0350317168115368	7.2474714923647623	0	0	0
null8	78	71	1	0	0	0	0	0	0	0	0	0	0	274	12	262	-6.1432807540569696	2.4445773948179266	0	0	0
null9	107	84	1	0	0	0	0	0	0	0	0	0	0	859	71	788	14.027550227000818	21.447227210256855	0	0	0
null9	79	71	1	0	0	0	0	0	0	0	0	0	0	680	9	671	-0.26687908686458406	0.068655496392780055	0	0	0
null9	74	49	1	0	0	0	0	0	0	0	0	0	0	1461	5	1456	-1.0481302904556244	0	0	0	0
null10	71	75	1	0	0	0	0	0	0	0	0	0	0	405	2	403	-0.32211572816857575	0	0	0	0
null11	73	84	1	0	0	0	0	0	0	0	0	0	0	1617	118	1499	-75.313038291706164	0.72328785354430503	0	0	0
null11	73	84	1	1	73	84	1	0	0	0	0	0	0	4	4	0	0.0025645022369284558	0.0025645022369284558	0	0	0
null13	78	71	1	0	0	0	0	0	0	0	0	0	0	746	11	735	-0.60145051329598964	0.0014019682274470707	0	0	0
null14	102	226	1	0	0	0	0	0	0	0	0	0	0	354	52	302	59.372180114586932	59.700032740173896	0	0	0
null15	112	226	1	0	0	0	0	0	0	0	0	0	0	318	32	286	7.0245118009494325	8.7735083350149115	0	0	0
null15	112	226	3	0	0	0	0	0	0	0	0	0	0	311	23	288	-24.856555345035314	0	0	0	0
null15	39	82	1	0	0	0	0	0	0	0	0	0	0	1084	25	1059	-2.9538685881199576	0.078160377972874368	0	0	0
null15	74	88	1	0	0	0	0	0	0	0	0	0	0	811	1	810	-2.3787165700952735	0	0	0	0
null15	74	88	1	1	74	88	1	0	0	0	0	0	0	1	0	1	-7.1545678192287262e-05	0	0	0	0
null17	106	70	1	0	0	0	0	0	0	0	0	0	0	833	11	822	-1.0158107443954885	0.0063198962077699733	0	0	0
null17	106	76	3	0	0	0	0	0	0	0	0	0	0	1304	44	1260	1.0169465508606543	2.4671543877754987	0	0	0
null17	122	42	1	0	0	0	0	0	0	0	0	0	0	785	1	784	-2.6791533530477998	0	0	0	0
null17	106	76	3	1	106	76	3	0	0	0	0	0	0	1	1	0	0.066476634865352019	0.066476634865352019	0	0	0
null17	122	42	1	1	106	76	3	0	0	0	0	0	0	1	0	1	-0.00015174053550533624	0	0	0	0
null17	45	79	1	0	0	0	0	0	0	0	0	0	0	840	28	812	-15.857712745584266	0.062295447257228583	0	0	0
null17	45	79	1	1	45	79	1	0	0	0	0	0	0	3	3	0	0.076573079607542394	0.076573079607542394	0	0	0
null17	45	79	3	0	0	0	0	0	0	0	0	0	0	798	23	775	5.1894366718718228	5.2008261025383113	0	0	0
null17	45	79	5	0	0	0	0	0	0	0	0	0	0	1599	79	1520	-0.46023758078424393	10.146891420380699	0	0	0
null17	45	79	5	1	45	79	5	0	0	0	0	0	0	4	4	0	0.28580906669299905	0.28580906669299905	0	0	0
null17	45	79	7	0	0	0	0	0	0	0	0	0	0	271	8	263	-4.7552952570653577	0.045515050589811243	0	0	0
null18	122	83	1	0	0	0	0	0	0	0	0	0	0	746	26	720	6.8501457572742375	6.9364604375021051	0	0	0
null18	122	83	1	1	122	83	1	0	0	0	0	0	0	2	0	2	-0.20704794032697721	0	0	0	0
null18	122	83	3	0	0	0	0	0	0	0	0	0	0	404	7	397	-1.053163888681417	3.3611618773536707	0	0	0
null18	122	83	3	1	122	83	3	0	0	0	0	0	0	2	0	2	-0.20703584842906775	0	0	0	0
null18	75	91	1	0	0	0	0	0	0	0	0	0	0	1439	0	1439	-1.0929790657299134	0	0	0	0
oracle	32	32	1	0	0	0	0	0	0	0	0	0	0	20080	9586	10494	-3594.8325363682825	11.57277804585943	0	0	0
oracle	32	32	1	1	32	32	1	0	0	0	0	0	0	15374	12712	2662	30.447440840804603	30.447440840804603	0	0	0
oracle	32	32	1	2	32	32	1	32	32	1	0	0	0	19	0	19	-183.31937595526071	0	0	0	0
oracle	32	32	1	3	32	32	1	32	32	1	32	32	1	107	57	50	-256.71796387855852	0	0	0	0
oracle	97	97	1	0	0	0	0	0	0	0	0	0	0	15504	2367	13137	-1045.2261614464146	34.356215298786033	0	0	0
oracle	97	97	1	1	32	32	1	0	0	0	0	0	0	12643	3888	8755	1220.6926055183201	1220.6926055183201	1	0.5	1
oracle	32	32	1	1	97	97	1	0	0	0	0	0	0	577	499	78	-69.323368250780362	1.2449339579771905	0	0	0
oracle	97	97	1	1	97	97	1	0	0	0	0	0	0	577	1	576	-3.899789054923497	0	0	0	0
