arm	positions	test_bytes	total_bits	bits_per_byte
a	130131	130131	383168.6760470592	2.9444842201
b	40424	130131	369357.9209717381	2.8383545886
c	40424	130131	369200.9827351441	2.8371485867
e	40424	130131	369363.0391948193	2.8383939199
d	55684	130131	322769.8277828142	2.4803454041
