arm	positions	test_bytes	total_bits	bits_per_byte
a	44755	44755	122260.4008853378	2.7317707717
b	11362	44755	103584.5907857483	2.3144808577
c	11362	44755	103531.5787265934	2.3132963630
e	11362	44755	103586.4170000334	2.3145216624
d	17015	44755	99307.3181014193	2.2189100235
