world	regime	mode	early4096_bits	whole16384_bits	tail8192_bits	admission_next_t	max_odds_before	max_odds_after	clips	low_clips	high_clips	slow_count	fast_count	minimum_prefix_bits	maximum_drawdown_bits
208	recombined	slow	257.66037517217643	1865.6931894165336	1191.9311285121512	67	15.85071047665134	15.85071047665134	0	0	0	16317	0	-0.26726208875854685	12.341899393430708
208	recombined	fast	252.1092970879252	1843.0574607151823	1178.8092272820782	67	9.8474426966288	9.8474426966288	0	0	0	0	16317	-0.1991099323520955	7.2944837779194245
208	recombined	adaptive	256.7917649237398	1864.824579168097	1191.9311285121512	67	15.85071047665134	15.85071047665134	0	0	0	15691	626	-0.2631259336131673	12.341899393430708
208	recombined	witness	256.81257826835036	1864.5012785484691	1191.8344455831757	67	15.850710476651338	15.850710476651338	0	0	0	15458	859	-0.26726208875854685	12.259149580805001
208	recombined	ceiling	251.58400895737452	1825.5530750503522	1164.41345947765	67	5.0	5.0	2850	0	0	15458	859	-0.26726208875854685	5.03728478003373
208	recombined	witnessed_ceiling	256.6448018706282	1863.3824533766565	1190.8982892115541	67	10.0	10.0	2560	3	2557	15458	859	-0.26726208875854685	9.789674066778048
208	switched	slow	257.66037517217643	668.9362699174344	-4.825790986954534	67	15.844181527368088	15.844181527368088	0	0	0	16317	0	-0.26726208875854685	12.353546482144111
208	switched	fast	252.1092970879252	663.8059163731119	-0.4423170599944904	67	9.842280784270002	9.842280784270002	0	0	0	0	16317	-0.1991099323520955	7.2944837779194245
208	switched	adaptive	256.7917649237398	668.0679479601304	-4.825502695821092	67	15.844181527368088	15.844181527368088	0	0	0	7618	8699	-0.2631259336131673	12.353258191011378
208	switched	witness	256.81257826835036	668.3382267185119	-4.328606246789329	67	15.844181527368088	15.844181527368088	0	0	0	7389	8928	-0.26726208875854685	12.259149580805001
208	switched	ceiling	251.58400895737452	660.926444022721	-0.21317154998135915	67	5.0	5.0	1186	0	0	7389	8928	-0.26726208875854685	5.03728478003373
208	switched	witnessed_ceiling	256.6448018706282	670.1093601284341	-2.3748040366654286	67	10.0	10.0	1034	3	1031	7389	8928	-0.26726208875854685	9.789674066778048
208	moved_mid	slow	257.66037517217643	974.6568590217596	300.89479811737084	67	15.844181527368088	15.844181527368088	0	0	0	16317	0	-0.26726208875854685	13.18446714023537
208	moved_mid	fast	252.1092970879252	958.9795025811474	294.7312691480401	67	9.842280784270002	9.842280784270002	0	0	0	0	16317	-0.1991099323520955	7.2944837779194245
208	moved_mid	adaptive	256.7917649237398	972.5362666858492	299.64281602989723	67	15.844181527368088	15.844181527368088	0	0	0	14404	1913	-0.2631259336131673	13.184465890606475
208	moved_mid	witness	256.81257826835036	971.6202779676879	298.9534450023878	67	15.844181527368088	15.844181527368088	0	0	0	13584	2733	-0.26726208875854685	13.142466839325152
208	moved_mid	ceiling	251.58400895737452	956.9717948600461	295.83217928734325	67	5.0	5.0	1703	0	0	13584	2733	-0.26726208875854685	5.043491419297766
208	moved_mid	witnessed_ceiling	256.6448018706282	972.45757194723	299.97340778213027	67	10.0	10.0	1480	7	1473	13584	2733	-0.26726208875854685	9.972798317102729
208	unrelated	slow	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
208	unrelated	fast	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
208	unrelated	adaptive	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
208	unrelated	witness	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
208	unrelated	ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
208	unrelated	witnessed_ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	recombined	slow	638.0419191589357	3580.4507117494945	2027.7004583578134	103	15.899576472115877	15.899576472115877	0	0	0	16281	0	0.0	13.936203444717194
209	recombined	fast	632.5097914564725	3558.1335982121736	2016.5886384609337	103	9.897958463023341	9.897958463023341	0	0	0	0	16281	0.0	9.217956006924737
209	recombined	adaptive	637.5881882464133	3579.996980836972	2027.7004583578134	103	15.899576472115877	15.899576472115877	0	0	0	15954	327	0.0	13.936203444717194
209	recombined	witness	637.459145509824	3579.837411861619	2027.7004583578134	103	15.899576472115877	15.899576472115877	0	0	0	15839	442	0.0	13.936203444717194
209	recombined	ceiling	625.6281597500424	3511.1938070246715	1988.3528203870765	103	5.0	5.0	4284	0	0	15839	442	0.0	5.042331949662298
209	recombined	witnessed_ceiling	637.1166720668011	3577.823242808937	2026.5440138104084	103	10.0	10.0	4095	0	4095	15839	442	0.0	9.936838337469453
209	switched	slow	638.0419191589357	1543.491954270348	-9.258299121345424	103	15.858086218734263	15.858086218734263	0	0	0	16281	0	0.0	13.936203444717194
209	switched	fast	632.5097914564725	1538.259789163275	-3.2851705879626456	103	9.856386269553157	9.856386269553157	0	0	0	0	16281	0.0	9.217956006924737
209	switched	adaptive	637.5881882464133	1543.0382233709033	-9.258299108266725	103	15.858086218734263	15.858086218734263	0	0	0	8165	8116	0.0	13.936203444717194
209	switched	witness	637.459145509824	1542.998166495046	-9.138787008769711	103	15.858086218734263	15.858086218734263	0	0	0	8312	7969	0.0	13.936203444717194
209	switched	ceiling	625.6281597500424	1521.0950512662944	-1.745935371303947	103	5.0	5.0	1824	0	0	8312	7969	0.0	5.042331949662298
209	switched	witnessed_ceiling	637.1166720668011	1544.789831039161	-6.489397959365975	103	10.0	10.0	1725	0	1725	8312	7969	0.0	9.936838337469453
209	moved_mid	slow	638.0419191589357	2668.9693445053044	1116.2190911136088	103	15.858086218734263	15.858086218734263	0	0	0	16281	0	0.0	13.936203444717194
209	moved_mid	fast	632.5097914564725	2646.9104898712612	1105.3655301200274	103	9.856386269553157	9.856386269553157	0	0	0	0	16281	0.0	9.217956006924737
209	moved_mid	adaptive	637.5881882464133	2668.515613592782	1116.2190911136088	103	15.858086218734263	15.858086218734263	0	0	0	15954	327	0.0	13.936203444717194
209	moved_mid	witness	637.459145509824	2667.6419707216432	1115.505017217813	103	15.858086218734263	15.858086218734263	0	0	0	15324	957	0.0	13.936203444717194
209	moved_mid	ceiling	625.6281597500424	2617.051156646829	1094.210170009231	103	5.0	5.0	3366	0	0	15324	957	0.0	5.043486537813806
209	moved_mid	witnessed_ceiling	637.1166720668011	2666.1723496087266	1114.8931206102056	103	10.0	10.0	3172	1	3171	15324	957	0.0	9.972645088857917
209	unrelated	slow	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	unrelated	fast	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	unrelated	adaptive	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	unrelated	witness	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	unrelated	ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
209	unrelated	witnessed_ceiling	0.0	0.0	0.0		0.0	0.0	0	0	0	0	0	0.0	0.0
210	recombined	slow	514.5522732585861	3002.7440806468217	1776.915490976172	107	15.838968153204265	15.838968153204265	0	0	0	16277	0	0.0	13.587487378653009
210	recombined	fast	510.1372500952086	2980.2222085742847	1765.604913991262	107	9.836667598064775	9.836667598064775	0	0	0	0	16277	0.0	8.292196165949917
210	recombined	adaptive	514.1457192605156	3002.3375266487515	1776.915490976172	107	15.838968153204265	15.838968153204265	0	0	0	15984	293	0.0	13.587487378653009
210	recombined	witness	513.8723720422622	3001.584083573824	1776.7101326426787	107	15.838968153204265	15.838968153204265	0	0	0	15441	836	0.0	13.51691368833076
210	recombined	ceiling	505.4232368456154	2943.1154999478567	1742.096246804559	107	5.0	5.0	3344	0	0	15441	836	0.0	5.043151162121433
